id	producto_id	tipo_detalle_id	detalle
77705235	7800005081027		
77705236	7800005064020		
77700000	736085445053		
77700001	736085402551		
77700002	7800085000062		
77700005	7800060005723		
77700004	7800060005754		
77700006	7800018150369		
77700008	7800068010019		
77700009	1633443590215		
77700011	4104480705199		
77700012	7800068010781		
77700013	7800068010774		
77700014	7800031001570		
77700015	1608748667442		
77700017	7800026660089		
77700018	8436024610987		
77700021	7814052402124		
77700022	2069006783407		
77700023	3201245879537		
77700019	606110083553		
77700024	7803319004348		
77700026	8936190950011		
77700020	7803319006557		
77700025	7616016306758		
77700027	9982618883224		
77700030	7803319005710		
77700031	7803319000036		
77700028	915568987604		
77700029	7814052402131		
77700035	7800044000430		
77700033	7800044000416		
77700032	7800044000423		
77700037	7795380000872		
77700038	7800026015261		
77700039	7800026019184		
77700040	7800026015223		
77700041	7800026015278		
77700045	7800063111032		
77700042	7804650884118		
77700043	7800086743302		
77700044	7800007112583		
77700046	6419587204451		
77700047	7805287060609		
77700048	7800026012000		
77700049	7800063116372		
77700050	7804620830183		
77700052	8903726209608		
77700059	7800007746832		
77700054	7800063116778		
77700055	7800063111995		
77700056	7800046002180		
77700058	7804620830190		
77700063	7804620834587		
77700060	7804650883449		
77700061	7800007155719		
77700062	7804620832781		
77700064	7804650883784		
77700065	7800063160016		
77700066	8903726209615		
77700067	7804640560398		
77700071	7804620835140		
77700068	7804620833849		
77700069	7800007805799		
77700070	7800068030031		
77700072	7804640561043		
77700073	7800078000703		
77700075	782150965100		
77700074	7800078000710		
77700080	7804673040225		
77700079	7800063110493		
77700078	7800007173881		
77700076	7804620832163		
77700081	9998874432229		
77700083	7800018157016		
77700082	7800078010221		
77700085	7800018000930		
77700084	7800018000299		
77700086	7800018157030		
77700088	7800018157023		
77700089	7707236121761		
77700091	7800063311234		
77700092	7800032115665		
77700093	7800007804365		
77700094	7800028002740		
77700095	7800028002757		
77705351	7800097002177		
77700097	7800026547861		
77700098	7795368001938		
77700100	7800060003675		
77700101	7800060003682		
77700102	7800060405844		
77700103	7800026015070		
77700104	7800028009381		
77700105	7804616660046		
77700106	7804616660077		
77700107	7804616660978		
77700109	7804629440079		
77700111	7804629440277		
77703699	7804621200008		
77700114	7793640992530		
77700113	7793640216094		
77700115	7793640992479		
77700118	7793640216100		
77700117	7793640992523		
77700119	7793640992486		
77700120	7793640992462		
77700122	7793640215592		
77700121	1637593017561		
77700123	7805256000056		
77700124	7800026005248		
77700125	1636648007586		
77700126	7800026004791		
77700128	7804612010418		
77700129	7804664340679		
77700130	22130022		
77700131	7800026005521		
77700132	7800050003159		
77700133	7800050002626		
77700134	7800050002619		
77700135	7809604501011		
77700136	7861073970613		
77700137	7800007727374		
77700138	1620845650349		
77700140	7800007794215		
77700142	7800007727534		
77700143	7800019010860		
77700144	7800019000199		
77700145	7800019010839		
77700146	7800019001073		
77700147	7800050300012		
77700148	7800060003651		
77700149	1597937981051		
77700150	7800046005112		
77700151	781159095955		
77700152	7800063000312		
77700153	7800007483997		
77700154	7800007484024		
77700155	7800050003166		
77700156	7800029000066		
77700157	7800029002480		
77700158	7800050002695		
77700160	7795373013087		
77700161	8903726248089		
77700162	7803319006267		
77700164	7800050001766		
77700165	7800059003792		
77700167	736085413182		
77700166	1614112339226		
77700168	7800062001907		
77700169	7800062001853		
77700170	7800062001792		
77700171	7800068010125		
77700172	1640711778904		
77700173	1543330633196		
77700175	7800068010118		
77700174	1598743079059		
77700176	7800038040510		
77700178	7800059002733		
77700180	8470001647603		
77700182	22130047		
77700181	7800063315966		
77700184	7804629440048		
77700185	7803319000098		
77700186	7803319006632		
77705546	7800044000454		
77700187	7801000221869		
77700189	7800045001801		
77700188	7801000231882		
77700191	7801000258476		
77700192	7801000253648		
77700194	7801000206859		
77700195	7800097002696		
77700196	7896548137758		
77700197	7800026598726		
77700200	7800068010156		
77700201	1622135156082		
77700202	9778969677540		
77700203	7804671910025		
77700204	7804671910018		
77700205	7804671910049		
77700208	7800030075008		
77700209	7800016000291		
77700210	7803319004584		
77700211	7804614931896		
77700212	7804614931889		
77700213	7800060414082		
77700214	7800060414167		
77700215	7804620834037		
77700216	7800007805324		
77700218	7800060112315		
77700217	1738819768165		
77700219	7800060112582		
77700221	7800060119321		
77700223	7800060118782		
77700222	1738819768268		
77700224	7800060117037		
77700225	7800060010314		
77700226	7800007421883		
77700227	7804650884491		
77700228	7800038040275		
77700229	7800038040251		
77700230	5392000067417		
77700231	1629236707784		
77700232	1587475191324		
77700234	7804614930141		
77700236	7804614931230		
77700238	7804614931223		
77700239	7800007778956		
77700240	7800007802880		
77700241	7804625951401		
77700242	7804625951357		
77700243	7804625951340		
77700244	7804620835492		
77700245	7804620834259		
77700246	7800060158658		
77700248	7800026005132		
77700247	7800026005125		
77700249	7804918401149		
77700253	7804918410356		
77700252	1639070504414		
77700251	7804918410325		
77700254	7795312001366		
77700255	7800056001135		
77700256	7795312100090		
77700257	7800056001463		
77700258	7800063001722		
77700259	7800063001388		
77700260	7803510002914		
77700261	7803510002907		
77700262	9780201320152		
77700263	1005050030525		
77700265	1004050030542		
77700266	1634245411509		
77700264	1005050030518		
77700267	7803501001926		
77700268	7851422584929		
77700269	7804616660114		
77700270	7803501001919		
77700271	9780201320060		
77700272	7674500098725		
77703166	7803319006571		
77700273	1544729830522		
77700275	7803504000537		
77700276	1587494914451		
77700277	7803504000162		
77700279	7800020187865		
77700280	7703281002185		
77700283	7800059002511		
77700282	7800097001460		
77700286	7800063001654		
77700284	7800086726602		
77700285	7804620835232		
77700290	7800063001661		
77700288	7805335081457		
77700289	8902281611376		
77700291	7805256908093		
77700292	7805256000025		
77700295	7800007368386		
77700293	7800063001203		
77700294	1596726643678		
77700297	7800060122116		
77700299	7800060122383		
77700300	7891317011970		
77700301	7891317011994		
77700302	7891317012007		
77700304	7800060122215		
77700305	7800060140790		
77700306	7800001900407		
77700307	7800001900193		
77700308	7800001000701		
77700310	7800007136336		
77705547	7800060003026		
77700311	7795312000758		
77700312	7795312000789		
77700313	7501165006089		
77700314	7891317148966		
77700315	7891317148928		
77700316	7800046004757		
77700317	7891317148942		
77700318	7800007491152		
77700319	7800007744623		
77700320	7800007744708		
77700321	7800007782120		
77700322	7800034510789		
77700323	7804640561357		
77700328	7800034510772		
77700327	7804620833580		
77700325	7804620834501		
77700330	7800063130279		
77700331	7806545010114		
77700332	7800062002430		
77700333	7707236124786		
77700336	890603058695		
77700334	8906031058695		
77700335	1656903668709		
